label,active,error_count,url,selector,type,proxy,hash
"Beat Klingelfuss - Startseite",yes,0,https://beat-klingelfuss.ch/,.ps89,static,no,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
"Digitales Amtsblatt Rüschlikon",yes,0,https://epublikation.ch/#!/search/publications?keyword=R%C3%BCschlikon&searchPeriod=LAST7DAYS,"div.app-content-center div.list-entry h2",dynamic,no,7fdbf16dfaf549d2ea606f4140bc52bc005943fbeadfac29190d6a426b18b629
"Elena Michel - Startseite",yes,0,https://elenamichel.ch/,article,static,no,9d3a1c9d2a1f5a11178071145ca3ec0d91b88ab0c5ad9784f79f8749f13a930b
"EVP Rüschlikon",no,17,https://evpzh.ch/sektionen/ortsgruppe/rueschlikon,#main,static,no,00e312a3030c9f1a550275ad76af50200c416fcd6183cf8b9f6c7ca9860654bc
"FDP Rüschlikon",yes,0,https://www.fdp-rueschlikon.ch/aktuell/news,#main-content,static,yes,ed13499368c614e330c32b40d02ce58c7052a24c987a9d8ecf71b9c8c3b2cfe4
"Grüne Rüschlikon",yes,0,https://gruene-rueschlikon.ch,article,dynamic,no,69175f69f8c46dd0543f982f66fbfd143e9c2418c8fc9a9e7473ca4e52360144
"HEV TRO Rüschlikon",yes,0,https://www.hev-tro.ch/,.article-listing,static,no,dee27b3c0a83178f2427a8e6efc6b1229aa80287ab0737eaa56eb0938d32c82a
"Matteo Pintonello - Startseite",yes,0,https://pintonello.ch/,#page-zones__main,static,no,613101b31a2fc19865f7b3fff4bb128fa99717dfe33968213b87268966182273
"Mitte Rüschlikon",yes,0,https://rueschlikon.die-mitte.ch/,.carousel-cell,static,yes,8571fcba41add486cb9f12644b6a940e86f41d1a5a7e160198bb27f47fac6191
"Ortsmuseum Rüschlikon",yes,0,https://ortsmuseum-rueschlikon.ch/aktuell/,article,static,no,9f07bf89d626c35738ff6e67bfa83660c0644428bc3c351bffccf5d0f8fb4d9b
"Rüschlikon - News",yes,0,https://www.rueschlikon.ch/aktuellesinformationen,#informationList_wrapper,dynamic,no,21ec5c7663a63a0ae93702a2d9f6aacd313cfae4077ed1a024f026d7e7bbb1e4
"SP Rüschlikon",yes,0,https://rueschlikon.spkantonzh.ch/aktuell/medienmitteilungen/,#main,static,no,2375669ab31f7aff79c7ce04019b385e937bce2dcfe27ee8c98ba01343558c6a
"Unternehmervereinigung Rüschlikon",yes,0,https://uvr-rueschlikon.ch/?s=,article,static,no,cbcd24a17e13ee9e50b4752b0c21817dcfa9d6f86976202bab7e6e931a533917
"Zimmerberg Online Rüschlikon",yes,0,https://zimmerberg.online/rubrik/rueschlikon/,"article h2",static,no,ffa5554cd24e193da256c30fb9674f61d4c9ae2588557e30350238d4f68b5bc8
"ZPZ Agenda Rüschlikon",yes,0,https://www.zpz.ch/aktuell/agenda,"main section p",static,no,088a2d6b6210085e2cd03b163f81dfa81ac55159b5eaf5b70ee4b11713bc860e
"ZPZ Amtliche Publikation Rüschlikon",yes,0,https://www.zpz.ch/beschluesse-und-publikationen/amtliche-publikationen-der-zpz,main,static,no,81ce4ce67acb6f6acaf3ac6241484c63240af730ec72a9f7f04ec0bed307572d
"ZPZ News Rüschlikon",yes,0,https://www.zpz.ch/news,.news-container,static,no,48357ac2c04bd988120d076388af1e4a3e65f1e3f40dce633bb04be95a35f6b0
