label,active,error_count,url,selector,type,hash
"Thalwil informiert",yes,0,https://www.thalwil.ch/aktuellesinformationen,#informationList,static,1ff74d25cdaedf3caa109e7d92b0207cb5b2b3ced8d8f5b79f5bcf9a5aed2b3b
"Politische Infos Thalwil",yes,0,https://www.thalwil.ch/politikinformationen,#informationList,static,47faa5fddd1804c55dc3f2efd5dcbeb547632eef67624387ef7d7af880485d06
"SP Thalwil",yes,0,https://thalwil.spkantonzh.ch/aktuell/medienmitteilungen/,#main,static,70b14b973ab6a51de4cfaecc57f8b95d903657f2f4b66431fb8d806630e1a572
"SP Bezirk Horgen",yes,0,https://bezirk-horgen.spkantonzh.ch/aktuell/medienmitteilungen/,#main,static,086d54d5dfb265b5a02bd3183dc111de8d8c05644464a3f20a1cbd3d81f1f719
"FDP Thalwil",yes,0,https://www.fdpthalwil.ch/aktuell/news,#main-content,static,6e324940370055af196b3925aaa240c4c139d59e6c0015e19910efa656c58aa8
"FDP Bezirk Horgen",yes,0,https://www.fdp-bezirkhorgen.ch/aktuell/medienmitteilungen,#main-content,static,2affc5108b6ddd22cfb568e68d758e0b4492dd998ee97348e900d6eceadba393
"EVP Thalwil",yes,0,https://evp-thalwil.ch/home,#main,static,02ba2181fb024dc33ace78b61d6977cc2d75da20e8802180dc9213536c6e4c20
"EVP Bezirk Horgen",yes,0,https://evpzh.ch/sektionen/bezirke/bezirk-horgen,#main,static,f15a8cc10802f2809f58d9213c65a3f6f89ababdc8415c9212b83677068a841d
"SVP Thalwil",yes,0,https://www.svp-thalwil.ch/,#page-zones__main,static,cedb851f929267b2dc14f836c99c21b4ffb18a38d68ce4d149adf8059f5719ee
"SVP Bezirk Horgen",yes,0,https://svp-bezirk-horgen.ch/wahlen2023/,#main,static,29758fffb6190fe7bbd163dbc46d8e471519e056b2e58063896b3d6953c3a1a8
"Mitte Thalwil",yes,0,https://thalwil.die-mitte.ch/,main,static,5cf964d3509824d92242efc1b5a1d3ddd7bc570e3db394cf42b74b90f97b1175
"Mitte Bezirk Horgen",yes,0,https://zh.die-mitte.ch/bezirk-horgen/,main,static,e794059f984d0a98335bba83d18f3bbb64ed9d51e8aa53ee6f6d479bbca7e66d
"Grüne Thalwil",yes,0,https://gruene-zh.ch/gr%C3%BCne-thalwil,#content,static,d6a2e0f65e601d4e29899e02965f0dd155b198cf328ea2b11fd786f2b0f0097a
"Grüne Bezirk Horgen",yes,0,https://gruene-zh.ch/aktuell-bezirk-horgen,#content,static,1dafb027d8917cbc425552453ef01c397714a416d29853cf4c7f500adf7fb7f5
"Grüne Kanton Zürich",yes,0,https://gruene-zh.ch/aktuell,.views-row,static,d57e9f100c4f9309ea0a66aebd9d33bb9f5e041d31a592199f187e2da283c521
"GLP Thalwil",yes,0,https://thalwil.grunliberale.ch/aktuell.html,#contentPage,static,133134248055d5e15b751cf4452fd4f961a88f827a05f6241875d428c4f6d23e
"GLP Bezirk Horgen",yes,0,https://bezirkhorgen.grunliberale.ch/aktuell.html,#contentPage,static,a952f4d8db2b451acb7e25469b8c75fd832b9ec568e32ecad0451ed708362750
"Ökopolis",yes,0,https://www.oekopolis.ch/,"aside.sidebar div.widget-content",static,09df76709da49599f1b993b6cc2fa7bb515c07f95b2d5247383e4ef524834c19
"Digitales Amtsblatt Thalwil",yes,0,https://epublikation.ch/#!/search/publications?metaTags=invitations&metaTags=enactments&metaTags=votes&metaTags=citizenship&metaTags=planning&metaTags=building&metaTags=traffic&metaTags=protection&metaTags=deaths&metaTags=court&metaTags=announcements&metaTags=public%5C_bodies&municipalityName=Thalwil&searchPeriod=LAST7DAYS,"div.app-content-center div.list-entry:nth-child(1)",dynamic,a5cc5f2ec8437e5cebdeb962686409b33bc39cab7c58f5b35368f354bd3949bc
"ZPZ News",yes,0,https://www.zpz.ch/news-index,.news-container,static,a7ce2248db9d0e9d6f9860c167130cda208075287e9ccd8011dc4ea9d142b9f3
"ZPZ Agenda",yes,0,https://www.zpz.ch/aktuell/agenda,"main section p",static,7dc0018b16a340bcdc7007e012492bc775bbe414c5aba2d407001df28cffc233
"Verein Pro Badi Bürger 1",yes,0,https://www.vereinprobadibuerger1.ch/,"#page .content",static,ab6d7168ee1d91caea5bc2fdc8ff43ed8c45f82e2bece1d79a399ec64d85a82a
"HEV TRO",yes,0,https://www.hev-tro.ch/,div.news,static,aee85ca083509a62069e48c598809a7fb9e5e13ede1a178af4d74efabc9da253
"HGV Thalwil",yes,0,https://hgv-thalwil.ch/news/,.el-item,static,a36b9eebbe48f6aaf033c1c3293254455901b7155208e329136c6f27facf6124
